rental_id,rental_date,inventory_id,customer_id,return_date,staff_id
1,5/24/2011 22:53,367,130,5/26/2011 22:04,1
2,5/24/2011 22:54,1525,459,5/28/2011 19:40,1
3,5/24/2011 23:03,1711,408,6/1/2011 22:12,1
4,5/24/2011 23:04,2452,333,6/3/2011 1:43,2
5,5/24/2011 23:05,2079,222,6/2/2011 4:33,1
6,5/24/2011 23:08,2792,549,5/27/2011 1:32,1
7,5/24/2011 23:11,3995,269,5/29/2011 20:34,2
8,5/24/2011 23:31,2346,239,5/27/2011 23:33,2
9,5/25/2011 0:00,2580,126,5/28/2011 0:22,1
10,5/25/2011 0:02,1824,399,5/31/2011 22:44,2
11,5/25/2011 0:09,4443,142,6/2/2011 20:56,2
12,5/25/2011 0:19,1584,261,5/30/2011 5:44,2
13,5/25/2011 0:22,2294,334,5/30/2011 4:28,1
14,5/25/2011 0:31,2701,446,5/26/2011 2:56,1
15,5/25/2011 0:39,3049,319,6/3/2011 3:30,1
16,5/25/2011 0:43,389,316,5/26/2011 4:42,2
17,5/25/2011 1:06,830,575,5/27/2011 0:43,1
18,5/25/2011 1:10,3376,19,5/31/2011 6:35,2
19,5/25/2011 1:17,1941,456,5/31/2011 6:00,1
20,5/25/2011 1:48,3517,185,5/27/2011 2:20,2
21,5/25/2011 1:59,146,388,5/26/2011 1:01,2
22,5/25/2011 2:19,727,509,5/26/2011 4:52,2
23,5/25/2011 2:40,4441,438,5/29/2011 6:34,1
24,5/25/2011 2:53,3273,350,5/27/2011 1:15,1
25,5/25/2011 3:21,3961,37,5/27/2011 21:25,2
26,5/25/2011 3:36,4371,371,5/31/2011 0:34,1
27,5/25/2011 3:41,1225,301,5/30/2011 1:13,2
28,5/25/2011 3:42,4068,232,5/26/2011 9:26,2
29,5/25/2011 3:47,611,44,5/30/2011 0:31,2
30,5/25/2011 4:01,3744,430,5/30/2011 3:12,1
31,5/25/2011 4:05,4482,369,5/30/2011 7:15,1
32,5/25/2011 4:06,3832,230,5/25/2011 23:55,1
33,5/25/2011 4:18,1681,272,5/27/2011 3:58,1
34,5/25/2011 4:19,2613,597,5/29/2011 0:10,2
35,5/25/2011 4:24,1286,484,5/27/2011 7:02,2
36,5/25/2011 4:36,1308,88,5/29/2011 0:31,1
37,5/25/2011 4:44,403,535,5/29/2011 1:03,1
38,5/25/2011 4:47,2540,302,6/1/2011 0:58,1
39,5/25/2011 4:51,4466,207,5/31/2011 3:14,2
40,5/25/2011 5:09,2638,413,5/27/2011 23:12,1
41,5/25/2011 5:12,1761,174,6/2/2011 0:28,1
42,5/25/2011 5:24,380,523,5/31/2011 2:47,2
43,5/25/2011 5:39,2578,532,5/26/2011 6:54,2
44,5/25/2011 5:53,3098,207,5/29/2011 10:56,2
45,5/25/2011 5:59,1853,436,6/2/2011 9:56,2
46,5/25/2011 6:04,3318,7,6/2/2011 8:18,2
47,5/25/2011 6:05,2211,35,5/30/2011 3:04,1
48,5/25/2011 6:20,1780,282,6/2/2011 5:42,1
49,5/25/2011 6:39,2965,498,5/30/2011 10:12,2
50,5/25/2011 6:44,1983,18,5/28/2011 11:28,2
51,5/25/2011 6:49,1257,256,5/26/2011 6:42,1
52,5/25/2011 6:51,4017,507,5/31/2011 1:27,2
53,5/25/2011 7:19,1255,569,5/27/2011 5:19,2
54,5/25/2011 7:23,2787,291,6/1/2011 5:05,2
55,5/25/2011 8:26,1139,131,5/30/2011 10:57,1
56,5/25/2011 8:28,1352,511,5/26/2011 14:21,1
57,5/25/2011 8:43,3938,6,5/29/2011 6:42,2
58,5/25/2011 8:53,3050,323,5/28/2011 14:40,1
59,5/25/2011 8:56,2884,408,6/1/2011 9:52,1
60,5/25/2011 8:58,330,470,5/30/2011 14:14,1
61,5/25/2011 9:01,4210,250,6/2/2011 7:22,2
62,5/25/2011 9:18,261,419,5/30/2011 10:55,1
63,5/25/2011 9:19,4008,383,5/27/2011 4:24,1
64,5/25/2011 9:21,79,368,6/3/2011 11:31,1
65,5/25/2011 9:32,3552,346,5/29/2011 14:21,1
66,5/25/2011 9:35,1162,86,5/29/2011 4:16,2
67,5/25/2011 9:41,239,119,5/27/2011 13:46,2
68,5/25/2011 9:47,4029,120,5/31/2011 10:20,2
69,5/25/2011 10:10,3207,305,5/27/2011 14:02,2
70,5/25/2011 10:15,2168,73,5/27/2011 5:56,2
71,5/25/2011 10:26,2408,100,5/28/2011 4:59,1
72,5/25/2011 10:52,2260,48,5/28/2011 5:52,2
73,5/25/2011 11:00,517,391,6/1/2011 13:56,2
74,5/25/2011 11:09,1744,265,5/26/2011 12:23,2
75,5/25/2011 11:13,3393,510,6/3/2011 12:58,1
76,5/25/2011 11:30,3021,1,6/3/2011 12:00,2
77,5/25/2011 11:31,1303,451,5/26/2011 16:53,2
78,5/25/2011 11:35,4067,135,5/31/2011 12:48,2
79,5/25/2011 12:11,3299,245,6/3/2011 10:54,2
80,5/25/2011 12:12,2478,314,5/31/2011 17:46,2
81,5/25/2011 12:15,2610,286,6/2/2011 14:08,2
82,5/25/2011 12:17,1388,427,6/1/2011 10:48,1
83,5/25/2011 12:30,466,131,5/27/2011 15:40,1
84,5/25/2011 12:36,1829,492,5/29/2011 18:33,1
85,5/25/2011 13:05,470,414,5/29/2011 16:53,1
86,5/25/2011 13:36,2275,266,5/30/2011 14:53,1
87,5/25/2011 13:52,1586,331,5/29/2011 11:12,2
88,5/25/2011 14:13,2221,53,5/29/2011 9:32,2
89,5/25/2011 14:28,2181,499,5/29/2011 14:33,1
90,5/25/2011 14:31,2984,25,6/1/2011 10:07,1
91,5/25/2011 14:57,139,267,6/1/2011 18:32,1
92,5/25/2011 15:38,775,302,5/31/2011 13:40,2
93,5/25/2011 15:54,4360,288,6/3/2011 20:18,1
94,5/25/2011 16:03,1675,197,5/30/2011 14:23,1
95,5/25/2011 16:12,178,400,6/2/2011 18:55,2
96,5/25/2011 16:32,3418,49,5/30/2011 10:47,2
97,5/25/2011 16:34,1283,263,5/28/2011 12:13,2
98,5/25/2011 16:48,2970,269,5/27/2011 11:29,2
99,5/25/2011 16:50,535,44,5/28/2011 18:52,1
100,5/25/2011 16:50,2599,208,6/2/2011 22:11,1
101,5/25/2011 17:17,617,468,5/31/2011 19:47,1
102,5/25/2011 17:22,373,343,5/31/2011 19:47,1
103,5/25/2011 17:30,3343,384,6/3/2011 22:36,1
104,5/25/2011 17:46,4281,310,5/27/2011 15:20,1
105,5/25/2011 17:54,794,108,5/30/2011 12:03,2
106,5/25/2011 18:18,3627,196,6/4/2011 0:01,2
107,5/25/2011 18:28,2833,317,6/3/2011 22:46,2
108,5/25/2011 18:30,3289,242,5/30/2011 19:40,1
109,5/25/2011 18:40,1044,503,5/29/2011 20:39,2
110,5/25/2011 18:43,4108,19,6/3/2011 18:13,2
111,5/25/2011 18:45,3725,227,5/28/2011 17:18,1
112,5/25/2011 18:57,2153,500,6/2/2011 20:44,1
113,5/25/2011 19:07,2963,93,5/27/2011 22:16,2
114,5/25/2011 19:12,4502,506,6/1/2011 23:10,1
115,5/25/2011 19:13,749,455,5/29/2011 20:17,1
116,5/25/2011 19:27,4453,18,5/26/2011 16:23,1
117,5/25/2011 19:30,4278,7,5/31/2011 23:59,2
118,5/25/2011 19:31,872,524,5/31/2011 15:00,1
119,5/25/2011 19:37,1359,51,5/29/2011 23:51,2
120,5/25/2011 19:37,37,365,6/1/2011 23:29,2
121,5/25/2011 19:41,1053,405,5/29/2011 21:31,1
122,5/25/2011 19:46,2908,273,6/2/2011 19:07,1
123,5/25/2011 20:26,1795,43,5/26/2011 19:41,1
124,5/25/2011 20:46,212,246,5/30/2011 0:47,2
125,5/25/2011 20:48,952,368,6/2/2011 21:39,1
126,5/25/2011 21:07,2047,439,5/28/2011 18:51,1
127,5/25/2011 21:10,2026,94,6/2/2011 21:38,1
128,5/25/2011 21:19,4322,40,5/29/2011 23:34,1
129,5/25/2011 21:20,4154,23,6/4/2011 1:25,2
130,5/25/2011 21:21,3990,56,5/30/2011 22:41,2
131,5/25/2011 21:42,815,325,5/30/2011 23:25,2
132,5/25/2011 21:46,3367,479,5/31/2011 21:02,1
133,5/25/2011 21:48,399,237,5/30/2011 0:26,2
134,5/25/2011 21:48,2272,222,6/2/2011 18:28,1
135,5/25/2011 21:58,103,304,6/3/2011 17:50,1
136,5/25/2011 22:02,2296,504,5/31/2011 18:06,1
137,5/25/2011 22:25,2591,560,6/1/2011 2:30,2
138,5/25/2011 22:48,4134,586,5/29/2011 20:21,2
139,5/25/2011 23:00,327,257,5/29/2011 17:12,1
140,5/25/2011 23:34,655,354,5/27/2011 1:10,1
141,5/25/2011 23:34,811,89,6/2/2011 1:57,1
142,5/25/2011 23:43,4407,472,5/29/2011 0:46,2
143,5/25/2011 23:45,847,297,5/27/2011 21:41,2
144,5/25/2011 23:49,1689,357,6/1/2011 21:41,2
145,5/25/2011 23:59,3905,82,5/31/2011 2:56,1
146,5/26/2011 0:07,1431,433,6/4/2011 0:20,2
147,5/26/2011 0:17,633,274,5/29/2011 23:21,2
148,5/26/2011 0:25,4252,142,6/1/2011 19:29,2
149,5/26/2011 0:28,1084,319,6/2/2011 21:30,2
150,5/26/2011 0:28,909,429,6/1/2011 2:10,2
151,5/26/2011 0:37,2942,14,5/30/2011 6:28,1
152,5/26/2011 0:41,2622,57,6/3/2011 6:05,1
153,5/26/2011 0:47,3888,348,5/27/2011 21:28,1
154,5/26/2011 0:55,1354,185,5/29/2011 23:18,2
155,5/26/2011 1:15,288,551,6/1/2011 0:03,1
156,5/26/2011 1:19,3193,462,5/27/2011 23:43,1
157,5/26/2011 1:25,887,344,5/26/2011 21:17,2
158,5/26/2011 1:27,2395,354,6/3/2011 0:30,2
159,5/26/2011 1:34,3453,505,5/29/2011 4:00,1
160,5/26/2011 1:46,1885,290,6/1/2011 5:45,1
161,5/26/2011 1:51,2941,182,5/27/2011 5:42,1
162,5/26/2011 2:02,1229,296,5/27/2011 3:38,2
163,5/26/2011 2:26,2306,104,6/4/2011 6:36,1
164,5/26/2011 2:26,1070,151,5/28/2011 0:32,1
165,5/26/2011 2:28,2735,33,6/2/2011 3:21,1
166,5/26/2011 2:49,3894,322,5/31/2011 1:28,1
167,5/26/2011 2:50,865,401,5/27/2011 3:07,1
168,5/26/2011 3:07,2714,469,6/2/2011 2:09,2
169,5/26/2011 3:09,1758,381,5/27/2011 1:37,2
170,5/26/2011 3:11,3688,107,6/2/2011 3:53,1
171,5/26/2011 3:14,4483,400,6/3/2011 0:24,2
172,5/26/2011 3:17,2873,176,5/29/2011 4:11,2
173,5/26/2011 3:42,3596,533,5/28/2011 1:37,2
174,5/26/2011 3:44,3954,552,5/28/2011 7:13,2
175,5/26/2011 3:46,4346,47,6/3/2011 6:01,2
176,5/26/2011 3:47,851,250,6/1/2011 2:36,2
177,5/26/2011 4:14,3545,548,6/1/2011 8:16,2
178,5/26/2011 4:21,1489,196,6/4/2011 7:09,2
